Created as New Dataset,
nm,%R
2500.0,47.56
2495.0,48.68
2490.0,46.73
2485.0,48.31
2480.0,48.22
2475.0,48.63
2470.0,45.71
2465.0,47.92
2460.0,47.42
2455.0,47.99
2450.0,49.66
2445.0,48.10
2440.0,47.42
2435.0,47.76
2430.0,49.57
2425.0,48.63
2420.0,47.74
2415.0,48.41
2410.0,47.49
2405.0,49.46
2400.0,48.10
2395.0,47.24
2390.0,48.72
2385.0,47.31
2380.0,48.63
2375.0,48.48
2370.0,46.78
2365.0,47.30
2360.0,48.00
2355.0,48.16
2350.0,46.85
2345.0,47.25
2340.0,47.75
2335.0,47.48
2330.0,47.52
2325.0,48.00
2320.0,47.88
2315.0,48.66
2310.0,47.57
2305.0,47.87
2300.0,47.91
2295.0,46.87
2290.0,47.82
2285.0,46.94
2280.0,47.61
2275.0,47.36
2270.0,47.33
2265.0,47.39
2260.0,46.99
2255.0,46.47
2250.0,47.38
2245.0,47.17
2240.0,46.49
2235.0,46.68
2230.0,46.21
2225.0,47.07
2220.0,47.22
2215.0,46.11
2210.0,47.22
2205.0,47.34
2200.0,46.71
2195.0,47.15
2190.0,47.20
2185.0,47.60
2180.0,47.52
2175.0,47.67
2170.0,48.12
2165.0,47.79
2160.0,48.41
2155.0,48.83
2150.0,49.09
2145.0,48.45
2140.0,48.42
2135.0,48.52
2130.0,48.56
2125.0,48.37
2120.0,48.58
2115.0,47.92
2110.0,47.97
2105.0,48.01
2100.0,47.92
2095.0,47.75
2090.0,47.94
2085.0,47.73
2080.0,47.86
2075.0,47.61
2070.0,47.82
2065.0,47.68
2060.0,47.47
2055.0,47.44
2050.0,47.43
2045.0,47.55
2040.0,47.00
2035.0,47.01
2030.0,46.89
2025.0,46.88
2020.0,46.81
2015.0,46.76
2010.0,46.58
2005.0,46.36
2000.0,46.46
1995.0,46.45
1990.0,46.22
1985.0,46.17
1980.0,46.29
1975.0,46.10
1970.0,46.07
1965.0,46.07
1960.0,45.93
1955.0,45.97
1950.0,46.09
1945.0,45.82
1940.0,45.85
1935.0,45.98
1930.0,46.21
1925.0,45.92
1920.0,45.92
1915.0,45.95
1910.0,45.59
1905.0,45.54
1900.0,45.52
1895.0,45.78
1890.0,45.56
1885.0,45.52
1880.0,45.69
1875.0,45.71
1870.0,45.50
1865.0,45.56
1860.0,45.45
1855.0,45.22
1850.0,45.35
1845.0,45.29
1840.0,45.26
1835.0,45.14
1830.0,45.15
1825.0,45.10
1820.0,44.91
1815.0,44.98
1810.0,44.95
1805.0,44.80
1800.0,44.74
1795.0,44.55
1790.0,44.78
1785.0,44.91
1780.0,44.83
1775.0,44.74
1770.0,44.76
1765.0,44.69
1760.0,44.63
1755.0,44.61
1750.0,44.64
1745.0,44.48
1740.0,44.55
1735.0,44.44
1730.0,44.59
1725.0,44.18
1720.0,44.18
1715.0,44.04
1710.0,44.04
1705.0,43.90
1700.0,43.91
1695.0,43.84
1690.0,43.76
1685.0,43.71
1680.0,43.55
1675.0,43.59
1670.0,43.49
1665.0,43.48
1660.0,43.43
1655.0,43.33
1650.0,43.28
1645.0,43.21
1640.0,43.11
1635.0,43.09
1630.0,42.95
1625.0,42.91
1620.0,42.82
1615.0,42.74
1610.0,42.73
1605.0,42.59
1600.0,42.54
1595.0,42.50
1590.0,42.42
1585.0,42.35
