Wave (nm),7-Aug,4-Sep-05
350,0.11456,0.10509
351,0.11629,0.10703
352,0.11588,0.10642
353,0.11675,0.1056
354,0.11661,0.10484
355,0.11783,0.10717
356,0.11871,0.10649
357,0.12155,0.10848
358,0.12135,0.10834
359,0.12547,0.11111
360,0.12705,0.11269
361,0.12821,0.11439
362,0.13037,0.11714
363,0.13272,0.11809
364,0.13771,0.12142
365,0.14074,0.12435
366,0.14405,0.12664
367,0.1443,0.12711
368,0.14493,0.12846
369,0.14458,0.12782
370,0.14678,0.12872
371,0.14817,0.1287
372,0.14951,0.12994
373,0.14859,0.12935
374,0.14775,0.12866
375,0.14909,0.12969
376,0.14702,0.12718
377,0.14599,0.12536
378,0.14334,0.12209
379,0.14232,0.122
380,0.14076,0.12048
381,0.14228,0.12105
382,0.14128,0.12016
383,0.14193,0.12057
384,0.1401,0.11909
385,0.14064,0.12014
386,0.13971,0.11841
387,0.14068,0.1184
388,0.14007,0.11721
389,0.14083,0.11813
390,0.14366,0.12039
391,0.14497,0.12113
392,0.14655,0.12256
393,0.14895,0.12446
394,0.1551,0.12929
395,0.1616,0.134
396,0.16924,0.14042
397,0.17562,0.14562
398,0.18456,0.15232
399,0.19347,0.15949
400,0.20432,0.16821
401,0.21151,0.17365
402,0.2181,0.17816
403,0.22595,0.18442
404,0.2308,0.18837
405,0.23522,0.19116
406,0.23498,0.19167
407,0.23703,0.19333
408,0.23675,0.19185
409,0.23958,0.19402
410,0.24029,0.19438
411,0.24444,0.19742
412,0.24522,0.1981
413,0.24781,0.19963
414,0.24754,0.19882
415,0.24751,0.19848
416,0.24945,0.19959
417,0.24856,0.1985
418,0.24972,0.19917
419,0.24791,0.19744
420,0.24897,0.1982
421,0.24762,0.19733
422,0.24738,0.19684
423,0.24564,0.19478
424,0.24547,0.19388
425,0.24108,0.18981
426,0.23751,0.18688
427,0.23291,0.18323
428,0.23198,0.18263
429,0.23132,0.18185
430,0.23074,0.18117
431,0.23371,0.18333
432,0.23539,0.18405
433,0.24031,0.18732
434,0.24281,0.18875
435,0.24931,0.19345
436,0.25336,0.19644
437,0.25886,0.20047
438,0.2618,0.2025
439,0.26731,0.20631
440,0.26984,0.208
441,0.27421,0.21122
442,0.27547,0.21173
443,0.27815,0.21317
444,0.2834,0.21656
445,0.28664,0.21881
446,0.2925,0.22297
447,0.29497,0.22461
448,0.29928,0.22775
449,0.30018,0.22798
450,0.30343,0.23016
451,0.30441,0.23084
452,0.30705,0.23294
453,0.30747,0.23289
454,0.30914,0.23356
455,0.30726,0.23198
456,0.30862,0.23239
457,0.30785,0.23125
458,0.30857,0.23144
459,0.31194,0.23323
460,0.31177,0.23265
461,0.31325,0.23372
462,0.31172,0.23193
463,0.31285,0.23242
464,0.31126,0.23107
465,0.3117,0.23131
466,0.30944,0.22942
467,0.30912,0.22879
468,0.30672,0.22655
469,0.30787,0.22698
470,0.30706,0.22575
471,0.30711,0.22498
472,0.30904,0.22579
473,0.30913,0.22514
474,0.31127,0.22581
475,0.31156,0.225
476,0.3141,0.22624
477,0.31371,0.22545
478,0.31569,0.22629
479,0.31586,0.22604
480,0.31759,0.22718
481,0.31706,0.22704
482,0.31549,0.22619
483,0.31003,0.22249
484,0.30622,0.21991
485,0.30099,0.21604
486,0.29724,0.21325
487,0.29641,0.21254
488,0.29441,0.21098
489,0.29703,0.21224
490,0.29899,0.21313
491,0.30421,0.2167
492,0.30532,0.21719
493,0.30794,0.21861
494,0.30782,0.21808
495,0.30923,0.21898
496,0.30844,0.21807
497,0.30864,0.21774
498,0.30586,0.21527
499,0.30257,0.21243
500,0.30094,0.21071
501,0.29811,0.20793
502,0.29843,0.20738
503,0.29778,0.20617
504,0.2996,0.20667
505,0.29993,0.20662
506,0.30203,0.20772
507,0.30233,0.20764
508,0.30389,0.20854
509,0.30294,0.20778
510,0.30318,0.20789
511,0.30148,0.20664
512,0.29906,0.20474
513,0.297,0.20312
514,0.29205,0.19952
515,0.28754,0.19608
516,0.28289,0.19259
517,0.281,0.19105
518,0.27978,0.18977
519,0.28204,0.19068
520,0.2843,0.19162
521,0.28999,0.19497
522,0.29289,0.19653
523,0.29544,0.19769
524,0.29452,0.19633
525,0.2944,0.19553
526,0.29355,0.1943
527,0.29333,0.19343
528,0.29534,0.19389
529,0.2965,0.19395
530,0.29915,0.19509
531,0.2997,0.19496
532,0.30037,0.19502
533,0.29928,0.19405
534,0.29968,0.19409
535,0.299,0.19349
536,0.29956,0.19377
537,0.29841,0.19296
538,0.29698,0.19184
539,0.29459,0.19004
540,0.2923,0.18827
541,0.29216,0.18776
542,0.29187,0.18709
543,0.29337,0.1876
544,0.29395,0.18762
545,0.29527,0.18805
546,0.29478,0.18744
547,0.2953,0.18754
548,0.29448,0.18669
549,0.29509,0.1867
550,0.29456,0.18604
551,0.29557,0.1864
552,0.29502,0.18578
553,0.29546,0.18575
554,0.2945,0.18473
555,0.29259,0.1831
556,0.29127,0.18185
557,0.28831,0.17952
558,0.28672,0.17798
559,0.28498,0.17628
560,0.28519,0.17572
561,0.28549,0.17517
562,0.2865,0.17513
563,0.28608,0.17422
564,0.2861,0.17358
565,0.28462,0.17202
566,0.28405,0.17099
567,0.28232,0.16919
